#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 07 51 999 99.0 99.0  2.52  9.88  6.67  56 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 08 51 999 99.0 99.0  2.47  9.88  6.66  78 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 09 21 999 99.0 99.0  2.58 11.11  6.90  74 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 10 21 999 99.0 99.0  2.37  9.88  6.36  64 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 10 51 999 99.0 99.0  2.36 11.11  6.40  64 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 11 21 999 99.0 99.0  2.31 10.53  6.15  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 11 51 999 99.0 99.0  2.29 11.11  6.05  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 12 21 999 99.0 99.0  2.15 11.11  6.04  56 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 02 12 51 999 99.0 99.0  2.22 11.11  6.28  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 13 21 999 99.0 99.0  2.21  9.88  6.19  74 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 14 21 999 99.0 99.0  2.38 11.11  6.38  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 14 51 999 99.0 99.0  2.31  9.88  6.28  56 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 15 21 999 99.0 99.0  2.40  9.88  6.53  60 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 15 51 999 99.0 99.0  2.37 10.53  6.51  66 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 02 16 21 999 99.0 99.0  2.35 10.53  6.26  49 9999.0 999.0  27.7 999.0 99.0 99.00
