#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 01 00 30 999 99.0 99.0  2.35  9.09  6.33  19 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 01 00 999 99.0 99.0  2.54  9.09  6.62  36 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 01 30 999 99.0 99.0  2.46  7.69  6.30  18 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 02 00 999 99.0 99.0  2.37  6.67  6.28  59 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 02 30 999 99.0 99.0  2.34  9.09  6.45  28 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 03 00 999 99.0 99.0  2.29  7.14  6.54  63 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 03 30 999 99.0 99.0  2.20  9.09  6.50  28 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 04 00 999 99.0 99.0  2.26  8.33  6.34  25 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 04 30 999 99.0 99.0  2.44  9.09  6.51  18 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 05 00 999 99.0 99.0  2.34  7.69  6.77  15 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 05 30 999 99.0 99.0  2.16  7.69  6.70  19 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 06 00 999 99.0 99.0  2.33  9.88  6.84  36 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 06 30 999 99.0 99.0  2.17  7.14  6.27  33 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 07 00 999 99.0 99.0  2.15  7.69  6.37  26 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 07 30 999 99.0 99.0  2.24  9.88  6.51  14 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 08 00 999 99.0 99.0  2.18  9.09  6.47  35 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 08 30 999 99.0 99.0  2.15  7.69  6.61  25 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 09 00 999 99.0 99.0  2.06  7.69  6.38  16 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 09 30 999 99.0 99.0  1.98  8.33  6.75  24 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 10 00 999 99.0 99.0  1.92  7.14  6.69  28 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 10 30 999 99.0 99.0  1.94  9.09  6.58  28 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 11 00 999 99.0 99.0  2.18  7.14  6.79  29 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 11 30 999 99.0 99.0  2.02  9.88  6.59  43 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 12 00 999 99.0 99.0  2.08  7.69  6.62  40 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 12 30 999 99.0 99.0  2.29  8.33  6.83  42 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 13 00 999 99.0 99.0  2.15  9.88  6.53  53 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 13 30 999 99.0 99.0  2.19  7.14  6.51  42 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 14 00 999 99.0 99.0  2.25  9.88  6.68  49 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 14 30 999 99.0 99.0  2.34  7.69  6.42  49 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 15 00 999 99.0 99.0  2.19  9.09  6.37  47 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 15 30 999 99.0 99.0  2.23  9.09  6.52  29 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 16 00 999 99.0 99.0  2.18  7.14  6.51  29 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 16 30 999 99.0 99.0  2.07  7.69  6.41  43 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 17 00 999 99.0 99.0  2.04 10.53  6.54  21 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 17 30 999 99.0 99.0  2.14 10.53  6.43  25 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 18 00 999 99.0 99.0  2.04  9.88  6.15  42 9999.0 999.0  28.4 999.0 99.0 99.00
2014 01 01 18 30 999 99.0 99.0  1.99  9.09  6.36  32 9999.0 999.0  28.4 999.0 99.0 99.00
