#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 25 999 99.0 99.0  1.83 10.53  6.67  78 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 00 55 999 99.0 99.0  1.73 10.53  6.67  71 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 01 25 999 99.0 99.0  1.87  9.09  6.76  74 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 01 55 999 99.0 99.0  2.00  9.88  7.06  73 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 02 25 999 99.0 99.0  1.82  9.09  6.76  76 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 02 55 999 99.0 99.0  2.09  9.88  6.86  76 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 03 25 999 99.0 99.0  1.99  9.88  6.71  73 9999.0 999.0  28.8 999.0 99.0 99.00
2015 01 01 03 55 999 99.0 99.0  2.16  9.88  7.25  78 9999.0 999.0  28.8 999.0 99.0 99.00
2015 01 01 04 25 999 99.0 99.0  1.89  9.88  6.81  70 9999.0 999.0  28.8 999.0 99.0 99.00
2015 01 01 04 55 999 99.0 99.0  1.87  9.88  6.84  77 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 05 25 999 99.0 99.0  1.97  9.88  6.77  81 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 05 55 999 99.0 99.0  1.93 10.53  6.77  70 9999.0 999.0  28.8 999.0 99.0 99.00
2015 01 01 06 25 999 99.0 99.0  2.01 10.53  6.93  74 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 06 55 999 99.0 99.0  1.95 10.53  7.08  64 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 07 25 999 99.0 99.0  1.90  9.09  6.82  71 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 07 55 999 99.0 99.0  1.83 10.53  6.79  66 9999.0 999.0  28.7 999.0 99.0 99.00
2015 01 01 08 25 999 99.0 99.0  1.85  9.88  7.04  70 9999.0 999.0  28.7 999.0 99.0 99.00
